編號,地震時間,經度,緯度,深度,規模,震央位置
小區域,2011/10/29 下午 10:47:00,121.02,22.95,7.7,2.8,台東縣政府北偏西方  25.7  公里 (位於台東縣延平鄉)
小區域,2011/10/29 下午 01:06:00,120.3,23.22,14.8,2.6,嘉義縣政府南方  26.7  公里 (位於台南市官田區)
小區域,2011/10/29 上午 01:33:00,121.45,22.03,11.9,2.7,台東縣政府南偏東方  86.1  公里 (位於台灣東部海域)
小區域,2011/10/28 下午 03:59:00,120.33,23.25,9.7,3.6,嘉義縣政府南方  23.3  公里 (位於台南市六甲區)
小區域,2011/10/28 上午 08:58:00,120.65,24.29,27.4,3.5,台中市政府北方  17.0  公里 (位於台中市神岡區)
100146   ,2011/10/28 上午 03:27:00,121.53,23.74,8,2.9,花蓮縣政府南偏西方  29.1  公里 (位於花蓮縣壽豐鄉)
小區域,2011/10/28 上午 12:00:00,121.67,24.21,31.7,3.8,花蓮縣政府北偏東方  24.2  公里 (位於花蓮縣近海)
小區域,2011/10/27 下午 05:23:00,120.33,23.25,10.1,3.2,嘉義縣政府南方  23.8  公里 (位於台南市六甲區)
小區域,2011/10/27 上午 03:11:00,120.33,23.25,10.2,3.6,嘉義縣政府南方  23.7  公里 (位於台南市六甲區)
小區域,2011/10/26 上午 03:56:00,121.77,24.33,5.9,2.4,花蓮縣政府北偏東方  40.6  公里 (位於宜蘭縣近海)
小區域,2011/10/26 上午 03:51:00,121.77,24.33,6.9,2.6,花蓮縣政府北偏東方  40.9  公里 (位於宜蘭縣近海)
100145   ,2011/10/24 上午 06:22:00,121.49,23.15,14.7,3.4,台東縣政府東北方  55.4  公里 (位於台東縣近海)
小區域,2011/10/24 上午 04:56:00,121.61,24,8.7,2.8,花蓮縣政府西北方  1.8  公里 (位於花蓮縣花蓮市)
100144   ,2011/10/24 上午 01:38:00,121.81,24.89,90.2,4.1,宜蘭縣政府北偏東方  18.1  公里 (位於宜蘭縣頭城鎮)
小區域,2011/10/22 上午 03:48:00,120.55,23.18,10.4,3,嘉義市政府南偏東方  35.3  公里 (位於台南市楠西區)
小區域,2011/10/20 上午 07:42:00,121.59,24.14,18,3.1,花蓮縣政府北偏西方  17.1  公里 (位於花蓮縣秀林鄉)
小區域,2011/10/20 上午 01:22:00,121.67,23.88,5.8,4,花蓮縣政府南偏東方  13.5  公里 (位於花蓮縣近海)
100143   ,2011/10/19 上午 12:48:00,121.47,24.37,8.5,3.5,花蓮縣政府北偏西方  44.2  公里 (位於宜蘭縣南澳鄉)
